Interval=	0.001 s
ExcelDateTime=	4.4558456458398046e+004	12/28/2021 10:57:18.005592
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.811	822.19
0.812	821.88
0.813	822.66
0.814	822.19
0.815	822.34
0.816	822.34
0.817	822.34
0.818	822.50
0.819	822.50
0.82	822.66
0.821	843.13
0.822	843.44
0.823	843.59
0.824	843.28
0.825	843.59
0.826	843.13
0.827	843.91
0.828	843.44
0.829	843.59
0.83	843.28
0.831	843.91
0.832	843.75
0.833	843.75
0.834	843.28
0.835	843.59
0.836	843.75
0.837	843.59
0.838	843.44
0.839	844.06
0.84	864.22
0.841	863.91
0.842	864.38
0.843	864.38
0.844	863.75
0.845	864.38
0.846	864.84
0.847	864.84
0.848	864.22
0.849	864.69
0.85	864.06
0.851	864.69
0.852	864.22
0.853	864.38
0.854	863.75
0.855	864.53
0.856	864.69
0.857	864.38
0.858	864.22
0.859	864.22
0.86	864.06
0.861	882.97
0.862	882.97
0.863	882.97
0.864	883.28
0.865	883.44
0.866	883.13
0.867	883.44
0.868	882.97
0.869	883.13
0.87	883.28
0.871	882.81
0.872	882.97
0.873	882.66
0.874	883.13
0.875	882.81
0.876	882.81
0.877	882.81
0.878	882.50
0.879	882.97
0.88	891.09
0.881	891.56
0.882	891.56
0.883	892.03
0.884	891.88
0.885	891.56
0.886	891.88
0.887	891.25
0.888	891.88
0.889	891.41
0.89	891.88
0.891	891.88
0.892	891.72
0.893	891.88
0.894	891.56
0.895	891.72
0.896	891.25
0.897	891.41
0.898	891.88
0.899	891.41
0.9	891.25
0.901	882.19
0.902	881.72
0.903	882.19
0.904	882.19
0.905	882.34
0.906	882.19
0.907	882.81
0.908	882.34
0.909	882.34
0.91	882.34
0.911	882.50
0.912	882.19
0.913	882.34
0.914	882.50
0.915	882.19
0.916	882.03
0.917	882.19
0.918	882.34
0.919	882.19
0.92	864.53
0.921	864.84
0.922	863.91
0.923	864.38
0.924	864.06
0.925	864.22
0.926	864.38
0.927	864.06
0.928	864.53
0.929	863.75
0.93	864.69
0.931	864.53
0.932	863.75
0.933	864.06
0.934	864.53
0.935	864.38
0.936	864.06
0.937	864.69
0.938	864.22
0.939	864.22
0.94	864.22
0.941	851.72
0.942	851.25
0.943	851.41
0.944	851.41
0.945	851.72
0.946	850.94
0.947	851.56
0.948	851.72
0.949	851.09
0.95	851.56
0.951	851.09
0.952	851.72
0.953	851.41
0.954	851.41
0.955	851.09
0.956	851.88
0.957	851.25
0.958	851.88
0.959	851.56
0.96	843.91
0.961	844.38
0.962	844.38
0.963	844.22
0.964	844.06
0.965	843.91
0.966	844.53
0.967	844.22
0.968	844.22
0.969	844.06
0.97	844.38
0.971	844.38
0.972	843.91
0.973	844.22
0.974	844.69
0.975	844.53
0.976	844.53
0.977	844.06
0.978	844.06
0.979	844.06
0.98	844.06
0.981	837.19
0.982	837.50
0.983	836.88
0.984	837.19
0.985	837.19
0.986	837.19
0.987	836.56
0.988	836.72
0.989	836.72
