Interval=	0.001 s
ExcelDateTime=	4.4558443160273120e+004	12/28/2021 10:38:09.047598
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.523	595.00
0.524	595.78
0.525	597.03
0.526	596.09
0.527	595.63
0.528	603.13
0.529	603.44
0.53	603.75
0.531	603.59
0.532	603.44
0.533	603.44
0.534	603.59
0.535	603.91
0.536	603.59
0.537	603.28
0.538	604.22
0.539	603.75
0.54	603.59
0.541	603.59
0.542	603.91
0.543	603.59
0.544	603.75
0.545	603.91
0.546	603.28
0.547	603.59
0.548	606.88
0.549	607.34
0.55	607.03
0.551	607.03
0.552	607.34
0.553	607.03
0.554	607.03
0.555	606.88
0.556	607.34
0.557	606.88
0.558	607.19
0.559	607.66
0.56	607.50
0.561	607.50
0.562	607.19
0.563	606.72
0.564	607.19
0.565	607.19
0.566	607.19
0.567	607.03
0.568	605.78
0.569	605.78
0.57	605.31
0.571	605.16
0.572	605.78
0.573	606.25
0.574	605.00
0.575	605.78
0.576	605.94
0.577	605.47
0.578	605.94
0.579	606.09
0.58	604.84
0.581	605.47
0.582	605.47
0.583	605.78
0.584	605.78
0.585	605.78
0.586	605.94
0.587	605.63
0.588	607.66
0.589	607.03
0.59	607.34
0.591	607.03
0.592	607.66
0.593	607.50
0.594	606.88
0.595	607.66
0.596	607.81
0.597	607.34
0.598	607.34
0.599	607.50
0.6	607.34
0.601	607.97
0.602	607.34
0.603	607.19
0.604	607.66
0.605	607.66
0.606	607.34
0.607	607.81
0.608	614.22
0.609	614.84
0.61	614.22
0.611	614.69
0.612	614.69
0.613	614.53
0.614	614.38
0.615	614.69
0.616	614.69
0.617	614.38
0.618	614.69
0.619	614.84
0.62	615.00
0.621	614.69
0.622	614.53
0.623	615.00
0.624	614.84
0.625	614.06
0.626	613.91
0.627	614.53
0.628	620.31
0.629	620.47
0.63	621.09
0.631	620.94
0.632	620.47
0.633	620.63
0.634	620.63
0.635	620.78
0.636	620.63
0.637	620.31
0.638	620.63
0.639	619.84
0.64	620.78
