Interval=	0.001 s
ExcelDateTime=	4.4558451867772063e+004	12/28/2021 10:50:41.375506
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	5.000 V
UnitName=	pu
TopValue=	5000.00
BottomValue=	-5000.00
0.497	437.81
0.498	438.28
0.499	437.97
0.5	438.28
0.501	437.81
0.502	439.06
0.503	437.19
0.504	438.28
0.505	438.44
0.506	438.13
0.507	438.59
0.508	437.66
0.509	438.13
0.51	438.13
0.511	438.59
0.512	438.44
0.513	437.66
0.514	438.75
0.515	425.31
0.516	426.09
0.517	425.78
0.518	425.78
0.519	425.94
0.52	425.47
0.521	426.41
0.522	425.94
0.523	425.63
0.524	426.09
0.525	426.56
0.526	426.25
0.527	425.63
0.528	425.63
0.529	425.63
0.53	426.09
0.531	425.63
0.532	425.78
0.533	426.25
0.534	425.78
0.535	405.16
0.536	404.53
0.537	404.84
0.538	405.16
0.539	405.00
0.54	405.00
0.541	404.84
0.542	404.53
0.543	405.16
0.544	405.00
0.545	405.16
0.546	405.00
0.547	404.38
0.548	405.16
0.549	405.00
0.55	405.16
0.551	405.00
0.552	405.47
0.553	404.53
0.554	405.31
0.555	384.38
0.556	384.22
0.557	384.38
0.558	383.59
0.559	384.53
0.56	383.91
0.561	384.69
0.562	384.22
0.563	384.06
0.564	384.38
0.565	384.06
0.566	384.84
0.567	383.91
0.568	384.22
0.569	384.53
0.57	384.38
0.571	384.22
0.572	384.06
0.573	384.38
0.574	383.44
0.575	365.78
0.576	366.25
0.577	365.78
0.578	365.94
0.579	365.78
0.58	366.25
0.581	365.63
0.582	365.78
0.583	365.47
0.584	366.25
0.585	366.09
0.586	366.25
0.587	366.25
0.588	366.09
0.589	366.25
0.59	366.41
0.591	365.78
0.592	366.41
0.593	366.09
0.594	366.25
0.595	352.81
0.596	352.34
0.597	352.34
0.598	352.19
0.599	351.72
0.6	352.19
0.601	351.88
0.602	352.34
0.603	352.66
0.604	352.03
0.605	352.03
0.606	352.19
0.607	352.03
0.608	352.34
0.609	352.34
0.61	351.88
0.611	352.19
0.612	351.88
0.613	352.34
0.614	352.66
0.615	337.66
0.616	337.97
0.617	337.81
0.618	337.97
0.619	337.97
0.62	337.97
0.621	338.13
0.622	337.81
0.623	337.97
0.624	337.66
0.625	337.50
0.626	337.66
0.627	337.97
0.628	338.59
0.629	337.66
0.63	338.28
0.631	337.66
0.632	337.81
0.633	337.97
0.634	338.13
0.635	322.66
0.636	322.81
0.637	323.28
0.638	323.59
0.639	323.13
0.64	323.59
0.641	322.50
0.642	322.19
0.643	322.81
0.644	323.13
0.645	323.28
0.646	323.28
0.647	324.22
0.648	322.81
0.649	322.81
0.65	322.81
0.651	323.13
0.652	323.59
0.653	323.44
0.654	323.44
0.655	312.66
0.656	313.28
0.657	312.50
0.658	312.81
0.659	312.50
0.66	312.66
0.661	312.81
0.662	312.66
0.663	313.13
0.664	312.81
0.665	312.97
0.666	313.13
0.667	312.50
0.668	313.28
0.669	312.50
0.67	312.97
0.671	312.66
0.672	312.66
0.673	312.81
0.674	312.66
0.675	298.13
0.676	298.28
0.677	298.44
0.678	298.28
0.679	298.59
0.68	299.06
0.681	297.97
0.682	298.28
0.683	298.28
0.684	298.44
0.685	298.59
0.686	298.44
0.687	298.75
0.688	297.81
0.689	298.28
0.69	298.59
0.691	298.28
0.692	298.28
0.693	298.28
0.694	297.81
0.695	276.41
0.696	276.09
0.697	276.88
0.698	276.25
0.699	277.03
0.7	276.09
0.701	276.41
0.702	276.56
0.703	276.72
0.704	276.72
0.705	276.41
0.706	277.03
0.707	276.72
0.708	276.41
0.709	276.72
0.71	276.41
0.711	277.03
0.712	276.72
0.713	277.03
0.714	277.03
0.715	259.69
0.716	259.84
0.717	259.69
0.718	260.16
0.719	259.84
0.72	259.69
0.721	259.69
0.722	260.16
0.723	259.53
0.724	260.00
0.725	260.16
0.726	259.53
0.727	259.53
0.728	259.84
0.729	259.69
0.73	260.16
0.731	259.53
0.732	260.16
0.733	259.38
0.734	260.00
0.735	251.09
0.736	251.41
0.737	251.41
0.738	251.41
0.739	251.41
0.74	250.78
0.741	251.09
0.742	251.25
0.743	251.25
0.744	251.25
0.745	251.25
0.746	251.09
0.747	251.41
0.748	250.94
0.749	251.25
0.75	250.94
0.751	251.25
0.752	251.41
0.753	251.09
0.754	250.94
0.755	247.34
0.756	247.19
0.757	247.66
0.758	247.34
0.759	247.34
0.76	247.50
0.761	247.50
0.762	247.34
0.763	248.13
0.764	247.66
0.765	247.50
0.766	247.50
0.767	247.03
0.768	247.66
0.769	247.34
0.77	247.50
0.771	247.50
0.772	247.50
0.773	247.03
0.774	247.50
0.775	247.97
0.776	246.88
0.777	248.13
0.778	247.50
0.779	247.50
0.78	247.50
0.781	247.50
0.782	247.97
0.783	247.03
0.784	247.50
0.785	247.50
0.786	247.81
0.787	248.13
0.788	247.34
0.789	248.28
0.79	247.34
0.791	248.13
0.792	248.13
0.793	247.97
0.794	247.81
0.795	248.44
0.796	248.59
0.797	248.59
0.798	248.75
0.799	248.28
0.8	248.13
0.801	248.28
0.802	248.13
0.803	248.44
0.804	248.28
0.805	248.59
0.806	248.44
0.807	248.28
0.808	248.91
0.809	248.13
0.81	248.91
0.811	248.28
0.812	247.97
0.813	248.28
0.814	247.97
0.815	244.38
0.816	244.38
0.817	244.06
